workflow,perceived_ai_reliability,initial_trust,repeats,steps,mean_verification_rate,sd_verification_rate,mean_false_acceptance_rate,sd_false_acceptance_rate,mean_implementation_gap_acceptance_rate,sd_implementation_gap_acceptance_rate,mean_role_context_failure_acceptance_rate,sd_role_context_failure_acceptance_rate,mean_final_trust,sd_final_trust
approval_only,0.6,0.3,30,200,0.1558333333333333,0.04021672609090979,0.45566666666666666,0.03597732363714615,0.2095,0.02685690048103608,0.14316666666666666,0.028722313005184942,0.9499999999999997,2.2584051416334807e-16
approval_only,0.6,0.6,30,200,0.0665,0.02991799135798645,0.4736666666666667,0.028282239258433275,0.217,0.02611645009409283,0.15066666666666664,0.02575525836277581,0.9499999999999997,2.2584051416334807e-16
approval_only,0.6,0.9,30,200,0.02650000000000001,0.013591960098173657,0.5005000000000001,0.035558354176257086,0.22383333333333336,0.03727075522983535,0.1711666666666667,0.029962140862386168,0.9499999999999997,2.2584051416334807e-16
approval_only,0.7,0.3,30,200,0.13883333333333334,0.03271305057864399,0.4635,0.04023958421667693,0.21383333333333335,0.02759570597947708,0.14766666666666667,0.028397830579274808,0.9499999999999997,2.2584051416334807e-16
approval_only,0.7,0.6,30,200,0.07066666666666666,0.023698295200336644,0.4776666666666667,0.03664210253466522,0.21733333333333335,0.027815070751654406,0.1508333333333333,0.02209241301088856,0.9499999999999997,2.2584051416334807e-16
approval_only,0.7,0.9,30,200,0.020833333333333336,0.009292500993416343,0.497,0.034104302489214804,0.23183333333333334,0.03225660406408472,0.15283333333333332,0.021682796825154255,0.9486666666666664,0.007302967433402202
approval_only,0.8,0.3,30,200,0.13466666666666666,0.04240472756120749,0.4528333333333333,0.03831996268565361,0.21516666666666667,0.02820746212512267,0.1365,0.02374977313866242,0.9486666666666664,0.007302967433402202
approval_only,0.8,0.6,30,200,0.06316666666666668,0.023322452306933663,0.4693333333333334,0.029905982948098427,0.23016666666666666,0.03185320135844448,0.14666666666666664,0.022868941946384978,0.9446666666666664,0.02029665053619699
approval_only,0.8,0.9,30,200,0.022833333333333334,0.012154418334806124,0.49933333333333335,0.038746152942145014,0.2278333333333333,0.030333870148085616,0.15600000000000003,0.027240942816232357,0.9499999999999997,2.2584051416334807e-16
approval_only,0.9,0.3,30,200,0.131,0.03774688843079515,0.4461666666666667,0.03405581962858496,0.21949999999999997,0.031110204557125733,0.12566666666666668,0.020330600909302544,0.9473333333333331,0.014605934866804426
approval_only,0.9,0.6,30,200,0.060166666666666674,0.024157647940620967,0.46033333333333337,0.03629223659106185,0.22699999999999998,0.03374856318780667,0.14016666666666663,0.02820746212512267,0.9499999999999997,2.2584051416334807e-16
approval_only,0.9,0.9,30,200,0.02183333333333334,0.011101672236054422,0.4701666666666667,0.029316446288534116,0.2345,0.021389249636207443,0.1411666666666667,0.024937277639950076,0.9486666666666664,0.007302967433402202
approval_only,0.95,0.3,30,200,0.1255,0.035775882841705645,0.43166666666666664,0.02954637889398845,0.2173333333333333,0.020750294278483815,0.1275,0.0276601917364387,0.9499999999999997,2.2584051416334807e-16
